"base_value_quasi","b_value_quasi","w_value_quasi","b_quasi","w_quasi","r_quasi","m_quasi","dist_w_quasi"
0.335781519667875,1,0.0813417935301089,1,1,0.0533204956651199,0.0154227454668869,0.335781519667875
1.30895593584036,1,0.101124490745679,1,1,0.0657934836854288,0.0186382062053053,1.30895593584036
0.819482792689359,1,0.097543109008365,1,1,0.0182143281272001,0.0181099637873337,0.819482792689359
0.356385975428108,0.0134484728567918,0.092015441602981,1,1,0.106906626491196,0.017379438664986,0.356385975428108
0.235534233524681,1,0.0869905436883951,1,1,0.0127446780318562,0.0187907377538514,0.235534233524681
0.972421679727525,1,0.097738580954963,1,1,0.0103242522059566,0.0182596637255289,0.972421679727525
0.427946190753195,1,0.0742318108136315,1,1,0.0482525541858825,0.0152963956594425,0.427946190753195
0.48808346857266,1,0.0979972709273245,1,1,0.00949798191873513,0.0161124313513186,0.48808346857266
0.346966004285087,1,0.107035489940808,1,1,0.0212669239172399,0.0180367617673932,0.346966004285087
0.8016256414115,0.0167779556107763,0.0774404381198689,1,1,0.0953201260738604,0.0172601318149186,0.8016256414115
