"base_value_poisson","b_value_poisson","w_value_poisson","b_poisson","w_poisson","r_poisson","m_poisson","dist_w_poisson","bic_poisson"
2.71967356547363,1,0.172496586462349,1,1,0.169171861115451,0.0430275093280034,2.71967356547363,128.197488788871
4.40385713034767,1,0.168332863394914,1,1,0.0315877948882657,0.0416565418679105,4.40385713034767,133.713521501627
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
2.76434701535982,1,0.182015799822027,1,1,0.075404244823841,0.0467325246067732,2.76434701535982,128.14411887818
3.67997307467405,1,0.178975521596694,1,1,0.0873726010652999,0.0335605432202311,3.67997307467405,118.340302635434
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
2.21457205411311,1,0.18069127776734,1,1,0.00403626955901042,0.0408927010650399,2.21457205411311,123.970750983341
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
2.28284684837595,1,0.156503257926713,1,1,0.0713478219405237,0.0344987323374003,2.28284684837595,128.669121543531
NA,NA,NA,NA,NA,NA,NA,0,0
2.31497175010917,1,0.221026840408531,1,1,0.0574059539858153,0.0413989330463911,2.31497175010917,122.294897886542
NA,NA,NA,NA,NA,NA,NA,0,0
2.52033381056831,1,0.187699580210972,1,1,0.154163387908085,0.050859956320428,2.52033381056831,125.69516580304
2.11878396705761,1,0.173059223606263,1,1,0.0928721282163322,0.0446234987206351,2.11878396705761,121.982756462478
2.04239531008162,1,0.202148310457521,1,1,0.0800564511296708,0.0475599303359059,2.04239531008162,129.583154236376
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
3.05408915125619,1,0.23104473172184,1,1,0.0458255998270088,0.0543753409329425,3.05408915125619,127.569724945907
4.19511628732264,1,0.176791124091583,1,1,0.147806525358428,0.0324763297134823,4.19511628732264,121.08146567235
2.58180852219163,1,0.179709694950856,1,1,0.0834695056163459,0.0506137689232029,2.58180852219163,125.25896706966
2.69745593340779,1,0.198988453995515,1,1,0.0155776201815739,0.0399832166682502,2.69745593340779,119.342526321512
2.24528008090594,1,0.212033157840943,1,1,0.17352378182033,0.0486003975165716,2.24528008090594,124.363066409939
2.0131122284185,1,0.218526152980578,1,1,0.03867950547434,0.0394061176443795,2.0131122284185,129.879529831892
6.4705717330659,1,0.171811924901358,1,1,0.140889174945961,0.0372895156814081,6.4705717330659,136.311469028458
5.14926761749017,1,0.224504065467718,1,1,0.0569741878137457,0.0573098571336504,5.14926761749017,137.171686989124
NA,NA,NA,NA,NA,NA,NA,0,0
4.98814967761901,1,0.162522367393567,1,1,0.0406260608342825,0.0421231198817318,4.98814967761901,134.954158361323
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,0,0
4.93830232219188,1,0.207078420517908,1,1,0.0925169665062746,0.0470586137401683,4.93830232219188,135.4082548337
NA,NA,NA,NA,NA,NA,NA,0,0
2.68544828339442,1,0.227423239438498,1,1,0.0234793910283665,0.0379871292629094,2.68544828339442,129.923603117383
