"base_value_negbinquad","b_value_negbinquad","w_value_negbinquad","b_nb_quad","w_nb_quad","r_nb_quad","m_nb_quad","dist_w_nb_quad","bic_nbquad"
0.571471024115097,1,0.0813188597650058,1,1,0.0327631166877655,0.0222491609101401,0.571471024115097,291.806002929933
0.251110067272453,1,0.0812321363792041,1,1,0.0749527821347662,0.0216463431970245,0.251110067272453,307.924241165014
0.843519635124078,1,0.0711310923807016,1,1,0.0350460228802954,0.0179751686169652,0.843519635124078,308.066696329168
0.237309624621404,1,0.0918557596788633,1,1,0.0074948908080799,0.0155410289591372,0.237309624621404,297.097827073312
0.297500993594232,0.0124458814393237,0.0731912883077782,1,1,0.0868664291579496,0.0205796497920408,0.297500993594232,309.15850638052
1.32637372092164,1,0.0766036931327874,1,1,0.0183862708615685,0.0160572467782204,1.32637372092164,316.539101278271
1.62968352741869,1,0.0810137274274728,1,1,0.0230265107886956,0.021786330950296,1.62968352741869,289.982599107674
0.571143984217587,0.107525858860827,0.0777225957945576,1,1,0.185519144477485,0.0148492085056124,0.571143984217587,296.427171004829
NA,NA,NA,NA,NA,NA,NA,0,0
0.825911441843382,1,0.0760672540059547,1,1,0.00636352316121776,0.0137585514480333,0.825911441843382,301.927360145501
1.13785589601743,1,0.0838888603452129,1,1,0.0017323772670253,0.0191533146176689,1.13785589601743,300.961945466823
2.82890827457212,1,0.0634020011848526,1,1,0.0088222215099398,0.0146594802441644,2.82890827457212,310.325039697937
0.161410567944252,1,0.0865714724803084,1,1,0.0569535357562312,0.0184282873321777,0.161410567944252,298.550705397627
