"base_value_poisson","bic_poisson"
173.324265317993,347.311423317694
809.281150805113,1179.55805272901
327.871161830013,607.319817541571
227.962666576384,463.430865100491
67.3597041198532,239.84281960949
1001.75849863845,1407.08744844799
1992.93378668341,2210.47149352183
632.307108281961,976.409921081722
1388.23531763598,1794.0095538013
1507.36280111042,1729.94742306873
243.813967825588,557.4807499296
207.362563519495,452.655933650252
358.085661172402,557.163599913275
567.389644023048,831.965003184092
403.623631325059,784.705424314947
900.922391232311,1700.85481202455
597.769903078353,907.050510631032
1188.66708042364,1507.94868845261
262.862750965017,507.826158004043
195.343213002075,453.159820765886
396.056531891521,775.164969055721
666.580909569038,1003.11974135254
256.498109191687,521.382942589817
267.758243919813,509.828474446487
203.254168226652,430.718543556034
521.655467271481,876.080507970386
339.368370261545,628.956422740178
565.688706204732,979.485596395228
1406.95852805698,1731.76451503111
199.986924879003,421.519274229521
703.168976750636,1069.53744616028
898.648544454845,1367.24938600884
419.665469322386,801.8604650004
659.149812613496,1022.78352657921
1647.71548109981,2148.28867283845
515.115957192005,836.173754865884
82.1817048929735,267.974467030136
778.099567382274,949.20990037666
194.611874243249,467.642696772484
2089.972295671,1995.70688377887
0,0
548.80423990188,811.657168228465
413.38590206406,685.395523714024
368.432458386533,611.535983344437
990.454342738099,1068.26991309403
277.277569316578,472.382932553316
286.112522695886,542.088322361182
266.439185259003,475.143942515834
727.410941336866,1032.50225363955
1585.10757422768,1776.38504160687
208.049575621059,442.039953269847
392.492074508927,571.960574377306
255.584142785961,490.106589285635
970.492210884876,1281.18766556044
459.447048330124,831.842298519255
408.314557244364,687.21243502031
255.500674090523,416.285243873597
1976.64065547538,2394.37515886322
388.884249959493,651.238988758104
194.873390986191,435.66291562053
942.583107767326,1629.87017447768
664.617187493731,790.70284605998
1001.94728910958,1300.76502634137
765.067666190137,1115.01928813938
1399.05556262918,1654.27186116187
1612.67255455982,2034.63318991786
821.782425392955,1037.97182722141
582.175934006012,800.999924967877
190.252114080979,381.724050927605
1361.82283190457,1728.23592538632
1157.97502145885,1381.63629318684
588.745030087714,797.720183831539
651.215241927459,1030.73419515234
1699.46472432599,2511.25504068892
379.481429656204,639.320836050059
578.887674929009,900.716978745404
709.323033025471,1002.14241991149
646.883278628475,1036.59571438508
916.319777684671,1502.55306109741
585.047606557815,1009.20896453586
789.180100036548,1298.15427264301
194.843755400528,445.318489271973
885.310267547325,1167.08980729828
332.592433131747,583.108308188394
207.529997702836,467.714482489382
222.514627475474,439.530868861374
507.659932527599,771.624840364288
361.935050827494,571.617126923627
