"base_value_zinp","b_value_zinp","w_value_zinp","b_zinp","w_zinp","r_zinp","m_zinp","dist_w_zinp","bic_zinp"
NA,NA,NA,NA,NA,NA,NA,0,NA
0.187051561828298,1,0.380306577062023,1,1,0.243720936187398,0.185628025626158,0.187051561828298,68.8840457546959
0.387975009245344,1,0.240660746491552,1,1,0.109231018064149,0.123374725805645,0.387975009245344,67.491256302879
0.302373541836053,1,0.568202768411053,1,1,0.452242561605915,0.244890693702569,0.302373541836053,82.2836808923286
NA,NA,NA,NA,NA,NA,NA,0,NA
0.567042312809023,1,0.364257278579568,1,1,0.0936017274101387,0.169962018761419,0.567042312809023,83.843107144539
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
1.19370829781829,1,0.308951937823509,1,1,0.222532033055997,0.152233904356731,1.19370829781829,88.6268474161722
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.886890580069531,1,0.29295645679798,1,1,0.224452764447998,0.168842979210444,0.886890580069531,87.1351411592717
0.412581019398245,1,0.465388533422965,1,1,0.363168055354653,0.197285589107423,0.412581019398245,83.5139049973291
0.267971742425179,1,0.325986435184439,1,1,0.162337790886365,0.115842866364825,0.267971742425179,65.1989802251992
NA,NA,NA,NA,NA,NA,NA,0,NA
0.61488972859685,1,0.362380034001092,1,1,0.24984874297131,0.16713440370053,0.61488972859685,85.1108386073406
0.449667065281065,1,0.376347059030963,1,1,0.284673102801308,0.167045637494077,0.449667065281065,83.5515897768321
0.202852047694745,1,0.392830896907041,1,1,0.272679842495692,0.192671726347308,0.202852047694745,87.7723821382846
1.09935143930981,1,0.378584068636229,1,1,0.170963393713724,0.144248974908792,1.09935143930981,42.8695009529613
NA,NA,NA,NA,NA,NA,NA,0,NA
1.29512517290731,1,0.357039461208876,1,1,0.264713149722629,0.174477911501735,1.29512517290731,79.3806955289807
0.559354663230301,1,0.217072238884938,1,1,0.096117551242187,0.0911281153575469,0.559354663230301,49.2865002487414
1.53377423678457,1,0.22036290278537,1,1,0.0638145240652173,0.0408581741275807,1.53377423678457,32.7301474581953
0.589819263745886,1,0.222865838664847,1,1,0.0913268536308212,0.0724502885951171,0.589819263745886,46.8136557409076
0.589580173376944,1,0.407519706101007,1,1,0.24666961772989,0.145232976723098,0.589580173376944,82.0637690596508
0.741087113274632,1,0.490212176512917,1,1,0.293668497145127,0.22829998738659,0.741087113274632,88.8661061768444
0.517291922627436,1,0.335445840599248,1,1,0.164572963485876,0.136789091570013,0.517291922627436,56.2437289021372
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.347814254495904,1,0.406567500756871,1,1,0.150996780321178,0.131524090207629,0.347814254495904,100.59261396564
NA,NA,NA,NA,NA,NA,NA,0,NA
1.92108945798439,0.00117604512891067,0.403853264852822,1,1,0.409689653316164,0.197568127021752,1.92108945798439,60.0818844889777
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
0.478226545804552,1,0.322113313490542,1,1,0.188899514412355,0.133599886114958,0.478226545804552,60.6942232071548
NA,NA,NA,NA,NA,NA,NA,0,NA
