"base_value_zinbh","b_value_zinbh","w_value_zinbh","b_zinbh","w_zinbh","r_zinbh","m_zinbh","dist_w_zinbh","bic_zinbh"
NA,NA,NA,NA,NA,NA,NA,0,NA
5.80625320495922,1,0.177213680553137,1,1,0.153139281557026,0.122128301444025,5.80625320495922,370.096018169606
5.1706066130553,1,0.187175905034625,1,1,0.158087839830866,0.124589096483521,5.1706066130553,367.924003380606
4.3029529865007,1,0.168914823889322,1,1,0.0304369305852486,0.118299084799313,4.3029529865007,409.365046298143
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.00560363299451,1,0.176154821095662,1,1,0.145630243362877,0.115617915961769,4.00560363299451,338.651527409955
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.41461542199219,1,0.186865894238823,1,1,0.157275210076005,0.134010296602328,4.41461542199219,344.514633020899
NA,NA,NA,NA,NA,NA,NA,0,NA
3.7726331643314,1,0.18350802534595,1,1,0.165276724055209,0.10947232328728,3.7726331643314,395.765410452071
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.43048865410019,1,0.183050005868972,1,1,0.135381950753613,0.118397569923998,4.43048865410019,371.695585701067
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
8.87747325370909,0.0277239342037952,0.178876121268836,1,1,0.226854191671832,0.133096594532503,8.87747325370909,325.301909132312
NA,NA,NA,NA,NA,NA,NA,0,NA
3.48206317773875,1,0.199999718863913,1,1,0.158321624113798,0.128341805851704,3.48206317773875,367.638105628894
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.29353702122336,1,0.182057927960599,1,1,0.16700326555917,0.121743216420216,4.29353702122336,364.076385630331
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.49663312552965,1,0.183363234732857,1,1,0.140694197307632,0.104031065195351,4.49663312552965,343.769935982751
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
5.38168512856799,1,0.185305984214341,1,1,0.00394844612077247,0.0622162496672143,5.38168512856799,422.846135417787
3.75155001403905,1,0.173427408496128,1,1,0.151052500411359,0.105588854020479,3.75155001403905,374.26080652222
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.01691888864478,1,0.177807733787996,1,1,0.146882123432905,0.105876923477785,4.01691888864478,357.357704180265
NA,NA,NA,NA,NA,NA,NA,0,NA
3.64451868044265,1,0.169344126544559,1,1,0.149318358902911,0.131835796645255,3.64451868044265,305.586506577415
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
3.17912794688558,1,0.202434992119878,1,1,0.166971732216752,0.104312040089719,3.17912794688558,382.733447320453
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.57210917813178,1,0.184168913163035,1,1,0.164432773723557,0.11334498511801,4.57210917813178,383.747163817622
3.11834012212389,1,0.172130428386274,1,1,0.0820695003686022,0.115377494225514,3.11834012212389,400.156856671668
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.93284263298662,1,0.172825810210972,1,1,0.150671080809614,0.100469479403059,4.93284263298662,377.24069529997
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
6.28356658386285,1,0.184615194879198,1,1,0.162645217139071,0.119558297343686,6.28356658386285,354.090277087128
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.47699519388156,1,0.16073739544529,1,1,0.144806173044847,0.0970007156006123,4.47699519388156,393.434194211274
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.68107881380636,1,0.191848541627217,1,1,0.134579071461585,0.127251162256198,4.68107881380636,356.626123814021
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.38859408433861,1,0.159719641697564,1,1,0.159462185553817,0.101696183895117,4.38859408433861,406.53297527209
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
5.7859008867586,1,0.177503432208696,1,1,0.0873188634975513,0.123260035702763,5.7859008867586,386.402610323508
5.620022637152,1,0.160817565874519,1,1,0.127923111318734,0.120167659446548,5.620022637152,322.006938594646
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
6.56353052181037,1,0.166256840980893,1,1,0.142757744103194,0.129052355598713,6.56353052181037,304.160309216236
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.06506124123286,1,0.178136142066938,1,1,0.146950156879428,0.116616224358362,4.06506124123286,333.841059130672
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
5.36463976770901,1,0.172412759661922,1,1,0.0288014341951973,0.115733026247706,5.36463976770901,375.653954719603
NA,NA,NA,NA,NA,NA,NA,0,NA
3.59261840908444,1,0.192396045750935,1,1,0.0910649082970746,0.123397243640118,3.59261840908444,399.43144821322
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
4.33157240575651,1,0.166027812504251,1,1,0.150748897683736,0.101899936676703,4.33157240575651,390.695011672554
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
6.76608157602529,1,0.187405716835026,1,1,0.0914905915832327,0.107395423561046,6.76608157602529,422.931497443096
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,0,NA
